단어,빈도수
헬릭스,19
제이,19
입찰,19
시약,19
첫날,19
일동제약,19
페이,19
검찰총장,19
섹터,19
지사,19
통한,18
교수,18
항암,18
모델,18
통합,18
기적,18
부산,18
임시,18
사외이사,18
처리,18
통상,18
캐피탈,18
엠씨,18
우선주,18
스타,18
방법,18
사태,18
추출,18
저가,18
이화,18
추천,18
조건,18
셀루메드,18
리서치,18
선언,18
납품,18
수치,18
마니커,18
니아,18
네트워크,18
식료품,18
항상,18
트리,18
설계,18
연기금,18
불확실,18
사유,18
사이,18
리츠,18
애플리케이션,18
차익거래,18
경협,17
부진,17
원인,17
블루,17
테스트,17
방안,17
비중,17
부분,17
논란,17
수소차,17
일진,17
머티,17
안철수,17
투입,17
시가,17
지정학적,17
트론,17
체제,17
엔씨,17
일제,17
일보,17
엑세스,17
몇몇,17
마무리,17
신축,17
현지,17
부양책,17
악화,17
의장,17
페인트,17
태양광,17
폐렴,17
거리,17
니켈,17
밀러,17
타이밍,17
재건,17
이해,16
스코리아,16
양산,16
예정일,16
부과,16
다수,16
인도네시아,16
사임,16
레이저,16
통과,16
엔피,16
기인,16
양도,16
영상,16
지연,16
무료,16
채권,16
정기,16
임원,16
의료기기,16
급상승,16
자동,16
대선,16
드래곤,16
협의,16
양사,16
로템,16
천억원,16
반복,16
동방,16
최저,16
희귀,16
세종,16
데이타,16
운송업,16
컨텐츠,16
침체,16
품질,16
길이,16
설치,16
오픈,16
생활,16
탈모,16
리기,16
클럽,16
항원,16
뉴딜,16
프라이드,15
동력,15
조기,15
위반,15
혐의,15
교체,15
활성화,15
수도,15
구역,15
라이트,15
감사,15
점유,15
추정,15
상사,15
넥스트,15
씨아이,15
열병,15
인포,15
상대,15
움직임,15
천만,15
마케팅,15
공단,15
인터,15
드라마,15
시사,15
긴장,15
원유,15
생명공학,15
이사회,15
억제,15
모멘텀,15
사실,15
일이,15
혜택,15
차용,15
천주,15
디스,15
시점,15
상용,15
청구,15
이낙연,15
가처분,15
바스,15
위축,15
일정,15
흥국화재,15
간의,15
전장,15
리드,15
지엔,15
기도,15
미코,15
임플란트,15
테라,15
충전,15
투여,15
금호아시아나,15
너비,15
이동,15
요인,15
위드,15
외인,15
실질,15
바이든,15
스토리,15
매트릭스,15
무관,15
사용승인,15
대웅제약,15
디티앤,15
인플레이션,15
전자신문,15
에디슨,15
대기업,14
이드,14
양수,14
유안,14
수행,14
티에스,14
중소,14
성창,14
브이,14
인터내셔널,14
제강,14
교환,14
부인,14
골프,14
제과,14
플랜트,14
자신,14
명의,14
정상화,14
신설,14
주력,14
폐암,14
가까이,14
실제,14
한창,14
수산,14
코퍼레이션,14
요소,14
취소,14
유망,14
전선,14
나라,14
경계,14
단일,14
원자재,14
라이,14
비상,14
정리,14
다각,14
거의,14
부양,14
고유,14
기아,14
토박,14
위로,14
시트,14
선호,14
하향,14
수술,14
최소,14
주권,14
결합,14
클라우드,14
대출,14
이글,14
쌍용,14
분자,14
두기,14
비대,14
커뮤니티,14
합작,14
레인보우,14
구진,14
수산화,14
상업,13
사가,13
시큐리티,13
전국,13
복합,13
쇼핑,13
흡수,13
용량,13
동성제약,13
기술이전,13
과제,13
허용,13
혁신,13
아이디,13
대주,13
의지,13
예스,13
축소,13
입지,13
개성,13
자가,13
국민,13
스마트폰,13
비핵화,13
철회,13
디엠,13
비엔,13
가액,13
오메,13
국채,13
장사,13
방지,13
진흥,13
이행,13
고조,13
호황,13
임명,13
현장,13
방탄소년단,13
제주,13
종료,13
금강,13
덴트,13
판단,13
아이티,13
오공,13
모트,13
디자인,13
디바이스,13
메탈,13
넷마블,13
취하,13
엠에스,13
파악,13
공격,13
일간,13
성능,13
조국,13
손해,13
청약,13
주간,13
판결,13
소비,13
신속,13
렘데,13
시비르,13
완성,13
맞춤,13
소집,13
총장,13
원숭이,13
원화,12
서울대,12
치료법,12
선박,12
이외,12
어치,12
과열,12
펀드,12
필수,12
기각,12
한컴,12
췌장암,12
배당금,12
대구,12
법안,12
지니,12
연휴,12
브릿지,12
합성,12
증대,12
관리종목,12
웨어,12
독일,12
방위산업,12
파미셀,12
관절염,12
세아,12
횡령,12
이자율,12
의무,12
스킨,12
리스크,12
조성,12
접근,12
비료,12
부상,12
대원,12
유니,12
기차,12
동아,12
민간,12
주류,12
사용자,12
의원,12
가공,12
면제,12
부광약품,12
별도,12
혈액,12
세원,12
재생,12
해소,12
일시,12
오펙,12
사고,12
비엘,12
엑스,12
자동화,12
규정,12
한국은행,12
비차,12
화천,12
의존,12
촉진,12
재정,12
상이,12
퓨얼,12
현물,12
청구권,12
파월,12
외국,12
대웅,12
증설,12
리노,12
행차,12
여론조사,12
옥션,12
두창,12
엔켐,12
소비자,12
페라이트,12
시도,11
차기,11
무기명,11
감자,11
중형,11
육성,11
엠디,11
대화,11
타이어,11
아마존,11
정상,11
인스코비,11
남북정상회담,11
경협주,11
신주인수권,11
심의,11
인수합병,11
텍스트,11
동양,11
지방,11
직원,11
유효,11
도시,11
알음,11
아스,11
종은,11
효능,11
등장,11
티플랙스,11
알루미늄,11
휴맥스,11
지주회사,11
지식,11
아난,11
어려움,11
출원,11
상치,11
단체,11
시판,11
인정,11
절반,11
크론,11
감염병,11
백만,11
메모리,11
총리,11
제약회사,11
표준,11
낙스,11
수량,11
유니슨,11
러셀,11
파킨슨병,11
에어부산,11
뮤직,11
측은,11
레고,11
필름,11
비비안,11
일주일,11
무려,11
부작용,11
법무부,11
차질,11
투신,11
포항,11
이슈,11
발전소,11
비프,11
랜드,11
대폭,11
다우존스,11
재택근무,11
단독,11
법원,11
제거,11
가속,11
토스,11
광림,11
박셀,11
싸이월드,11
하인,11
긴축,11
다운로드,11
드론,11
이브이,11
채널,10
유방암,10
특허권,10
부사,10
법률,10
오션,10
라이브,10
코인,10
시범,10
전역,10
특징,10
안전,10
폐쇄,10
다날,10
레벨,10
하드웨어,10
대학,10
자원부,10
유럽연합,10
미세먼지,10
식량,10
단지,10
엔씨소프트,10
넥슨,10
제인,10
폐지,10
군사,10
영향력,10
안랩,10
모니터링,10
감시,10
퍼시픽,10
스카이,10
지위,10
드래곤플라이,10
버전,10
삼양식품,10
데코,10
텔콘,10
판매량,10
이즈,10
오케이,10
도널드,10
투약,10
태양,10
디엔에이,10
초과,10
소유,10
공약,10
백만원,10
지적,10
앤비,10
국영,10
국무총리,10
방향,10
견인,10
시티,10
매우,10
농업,10
과도,10
통제,10
반대,10
대다수,10
엔도,10
자리,10
본격,10
부국,10
대마,10
모색,10
에스케이,10
대만,10
사장,10
일과,10
시한,10
상신,10
만도,10
문서,10
티슈,10
직면,10
기준금리,10
흥행,10
티앤,10
공식,10
소문,10
필요성,10
제롬,10
알서포트,10
중앙은행,10
트렌드,10
효소,10
연말,10
컴투스,10
인적,10
출마,10
항목,10
속도,10
이노,10
율과,10
동국,10
게시,10
행보,10
중소형주,10
제휴,10
오피스,10
기업가,10
신작,10
토큰,10
오미크론,10
플레이스토어,10
퓨처,10
서남,10
맥신,10
관련성,9
무선,9
예산,9
브레인,9
신성,9
재개발,9
정비,9
합자회사,9
부여,9
사우디,9
홍콩,9
지방선거,9
금융감독원,9
네트,9
해양,9
급성,9
주시,9
스페코,9
한반도,9
복원,9
예비,9
증식,9
결산,9
작년,9
엠넷,9
날짜,9
전달,9
심볼,9
예수,9
지난주,9
고용,9
보복,9
대림,9
학회,9
종양,9
존재,9
교통,9
혼합,9
한라,9
건축,9
과거,9
원가,9
동남아,9
다소,9
한국전력,9
한솔,9
체계,9
대유,9
빅데이터,9
매력,9
발주,9
불안,9
화성,9
투명,9
인천,9
내츄럴,9
신화,9
빗썸,9
레저,9
장주,9
상당,9
콤텍,9
탄소,9
경향,9
미생물,9
항생제,9
빅히트,9
무상,9
유한양행,9
오스,9
포스,9
비교,9
폴리,9
웅진,9
정말,9
퓨전,9
디지털콘텐츠,9
자연,9
협업,9
하방,9
소속,9
높이,9
대우건설,9
구글,9
위지트,9
삼보,9
압박,9
생산량,9
지온,9
크라운,9
엠티,9
불매운동,9
남영,9
오염수,9
진전,9
유류,9
사우디아라비아,9
물이,9
제어,9
모나리자,9
기생충,9
개학,9
능률,9
이내,9
검체,9
노루,9
노터스,9
첨가제,9
근거,9
방산,9
종근당,9
역대,9
아파트,9
배송,9
대한전선,9
창업,9
안정화,9
공급망,9
폴라리스,9
리온,9
침공,9
정보기술,8
카메라,8
적응,8
권부,8
식수,8
씨티,8
플렉스,8
뉴보텍,8
유도,8
자릿수,8
선별,8
집단,8
대책,8
통화,8
연합,8
양자암호,8
상호,8
도모,8
암세포,8
재무제표,8
선택,8
손상,8
로스,8
인지,8
페이퍼,8
착수,8
것임,8
관세,8
협주,8
대우조선,8
전용,8
광고,8
코비,8
채권자,8
전해질,8
소형,8
동해,8
안보,8
키이스트,8
한강,8
남광,8
증상,8
통화정책,8
영진,8
가인,8
간염,8
동원,8
형태,8
개사,8
박사,8
알츠하이머,8
응용,8
종전,8
유출,8
나이벡,8
펩타이드,8
의혹,8
포스코엠텍,8
위원장,8
표명,8
범위,8
아연,8
유엔,8
알텍,8
아모레퍼시픽,8
오토메이션,8
당뇨병,8
인식,8
할인,8
희림,8
최신,8
밸브,8
시행,8
주문,8
복구,8
문배,8
해석,8
다만,8
운반,8
불안감,8
알고리즘,8
마크,8
오리엔트,8
메르스,8
유통업체,8
강스,8
생명자원,8
전이,8
연설,8
반납,8
특별,8
제약업,8
신흥,8
이월드,8
약화,8
파일,8
이티,8
친구,8
위세,8
노랑,8
풍선,8
에이스,8
티스,8
와이지엔터테인먼트,8
보로,8
병용,8
자문,8
동결,8
이란,8
등급,8
태림,8
복귀,8
대여,8
자산운용,8
손해배상,8
한류,8
유주,8
무기,8
노바,8
베이스,8
다산,8
완전,8
악재,8
개국,8
대안,8
중요,8
추후,8
원대,8
주전자,8
동국제강,8
블러,8
썸엠앤,8
여성,8
하이트진로,8
보수,8
패션,8
척추,8
논문,8
단백질,8
일봉,8
이자,8
개시,8
시간대,8
성분,8
수반,8
체외,8
상상,8
아이큐,8
판지,8
샘표식품,8
카페,8
알톤스포츠,8
